Identifier;Type;Address;Assignee;Annote;Author;Booktitle;Chapter;Day;Dayfiled;Edition;Editor;Howpublish;Institution;Journal;Language;Month;Monthfiled;Nationality;Note;Number;Organization;Pages;Publisher;Revision;School;Series;Title;RepType;Volume;Year;Yearfiled;URL;Custom1;Custom2;Custom3;Custom4;Custom5;ISBN
ArgyrouAndreev2011;7;Tarrytown, NY, USA;;;Argyrou, Argyris and Andreev, Andriy;;;;;;;;;Expert Syst. Appl.;;September;;;;9;;11176--11181;Pergamon Press, Inc.;;;;A Semi-supervised Tool for Clustering Accounting Databases with Applications to Internal Controls;;38;2011;;http://dx.doi.org/10.1016/j.eswa.2011.02.163;;;;;;
AshrafChangHussainEtAl2015;7;Amsterdam, The Netherlands, The Netherlands;;;Ashraf, Jamshaid and Chang, Elizabeth and Hussain, Omar Khadeer and Hussain, Farookh Khadeer;;;;;;;;;Know.-Based Syst.;;May;;;;C;;34--47;Elsevier Science Publishers B. V.;;;;Ontology Usage Analysis in the Ontology Lifecycle;;80;2015;;http://dx.doi.org/10.1016/j.knosys.2015.02.026;;;;;;
BANDSUCHPATETHIES2008;7;;;;BANDSUCH, MARK and PATE, LARRY and THIES, JEFF;;;;;;;;;Business and Society Review;;;;;;1;;99--127;Blackwell Publishing Inc;;;;Rebuilding Stakeholder Trust in Business: An Examination of Principle-Centered Leadership and Organizational Transparency in Corporate Governance1;;113;2008;;http://dx.doi.org/10.1111/j.1467-8594.2008.00315.x;;;;;;
BaoRongLiEtAl2010;6;Berlin, Heidelberg;;;Bao, Jie and Rong, Graham and Li, Xian and Ding, Li;Proceedings of the 2010 International Conference on Semantic Web Rules;;;;;;;;;;;;;;;;144--152;Springer-Verlag;;;RuleML'10;Representing Financial Reports on the Semantic Web: A Faithful Translation from XBRL to OWL;;;2010;;http://dl.acm.org/citation.cfm?id=1929574.1929592;;;;;;3-642-16288-6, 978-3-642-16288-6
Barry2013;1;San Francisco, CA, USA;;;Barry, Douglas K.;;;;;2nd;;;;;;;;;;;;;Morgan Kaufmann Publishers Inc.;;;;Web Services, Service-Oriented Architectures, and Cloud Computing, Second Edition: The Savvy Manager's Guide;;;2013;;;;;;;;0123983576, 9780123983572
BarryDick2013;5;Boston;;;Douglas K. Barry and David Dick;Web Services, Service-oriented Architectures, and Cloud Computing (Second Edition) ;;;;Second Edition;Barry, Douglas K. and Dick, David ;;;;;;;;;;;179 - 194;Morgan Kaufmann;;;"The Savvy Manager;#x0027;s Guides";Chapter 15 - Semantic Vocabularies ;;;2013;;http://www.sciencedirect.com/science/article/pii/B9780123983572000154;;;;;;978-0-12-398357-2
Bates2010;7;88 Danbury Road, 1D, Wilton, CT 06897, United States;;;Bates, Mary Ellen;;;;;;;;;EContent;English;;;;"Elsevier;Financial statements;Hyperlinks;Securities and Exchange Commissions;Smartphones;Visual search;";3;;23 - ;;;;;Does this xbrl make me look fat?;;33;2010;;;;;;;;
BaxterHunton2011;7;;;;Ryan J. Baxter and James E. Hunton;;;;;;;;;International Journal of Accounting Information Systems ;;;;;Special Issue on Methodologies in \{AIS\} Research ;2;;90 - 98;;;;;Capturing affect via the experience sampling method: Prospects for accounting information systems researchers ;;12;2011;;http://www.sciencedirect.com/science/article/pii/S1467089510000898;;;;;;
BediniGardarinNguyen;10;;;;Ivan Bedini and Georges Gardarin and Benjamin Nguyen;;;;;;;;;;;;;;;;;;;;;;Semantic Technologies and;;;;;;;;;;;
BelapurkarChakrabartiPonnapalliEtAl2009;5;;;;Belapurkar, Abhijit and Chakrabarti, Anirban and Ponnapalli, Harigopal and Varadarajan, Niranjan and Padmanabhuni, Srinivas and Sundarrajan, Srikanth;Distributed Systems Security;;;;;;;;;;;;;;;;265--277;John Wiley \& Sons, Ltd;;;;Case Study: Compliance in Financial Services;;;2009;;http://dx.doi.org/10.1002/9780470751787.ch12;;;;;;9780470751787
BelfoTrigo2013;7;;;;Fernando Belfo and António Trigo;;;;;;;;;Procedia Technology ;;;;;\{CENTERIS\} 2013 - Conference on \{ENTERprise\} Information Systems / ProjMAN 2013 - International Conference on Project MANagement/ \{HCIST\} 2013 - International Conference on Health and Social Care Information Systems and Technologies ;;;536 - 546;;;;;Accounting Information Systems: Tradition and Future Directions ;;9;2013;;http://www.sciencedirect.com/science/article/pii/S2212017313002144;;;;;;
Bennett2010;6;New York, NY, USA;;;Bennett, Michael G.;Ontology-Driven Software Engineering;;;;;;;;;;;;;;;;3:1--3:6;ACM;;;ODiSE'10;EDM Council Semantics Repository Next Steps: Exploring a Consensus Semantics Framework;;;2010;;http://doi.acm.org/10.1145/1937128.1937131;;;;;;978-1-4503-0548-8
BharosaJanssenHulstijnEtAl2011;6;New York, NY, USA;;;Bharosa, Nitesh and Janssen, Marijn and Hulstijn, Joris and van Wijk, Remco and de Winne, Niels and Tan, Yao-hua;Proceedings of the 5th International Conference on Theory and Practice of Electronic Governance;;;;;;;;;;;;;;;;147--156;ACM;;;ICEGOV '11;Towards a Lean-government Using New IT-architectures for Compliance Monitoring;;;2011;;http://doi.acm.org/10.1145/2072069.2072095;;;;;;978-1-4503-0746-8
BharosaJanssenKlievinkEtAl2013;6;New York, NY, USA;;;Bharosa, Nitesh and Janssen, Marijn and Klievink, Bram and Tan, Yao-hua;Proceedings of the 14th Annual International Conference on Digital Government Research;;;;;;;;;;;;;;;;146--155;ACM;;;dg.o '13;Developing Multi-sided Platforms for Public-private Information Sharing: Design Observations from Two Case Studies;;;2013;;http://doi.acm.org/10.1145/2479724.2479747;;;;;;978-1-4503-2057-3
BharosaJanssenWijkEtAl2013;7;;;;Nitesh Bharosa and Marijn Janssen and Remco van Wijk and Niels de Winne and Haiko van der Voort and Joris Hulstijn and Yao-hua Tan;;;;;;;;;Government Information Quarterly ;;;;;\{ICEGOV\} 2011 Supplement ;;;S9 - S18;;;;;Tapping into existing information flows: The transformation to compliance by design in business-to-government information exchange ;;30, Supplement 1;2013;;http://www.sciencedirect.com/science/article/pii/S0740624X12001475;;;;;;
BharosaVoortHulstijnEtAl2011;6;Berlin, Heidelberg;;;Bharosa, Nitesh and van der Voort, Haiko and Hulstijn, Joris and Janssen, Marijn and de Winne, Niels and van Wijk, Remco;Proceedings of the 10th IFIP WG 8.5 International Conference on Electronic Government;;;;;;;;;;;;;;;;392--403;Springer-Verlag;;;EGOV'11;Impose with Leeway: Combining an Engineering and Learning Approach in the Management of Public-private Collaboration;;;2011;;http://dl.acm.org/citation.cfm?id=2035176.2035214;;;;;;978-3-642-22877-3
BharosaWijkJanssenEtAl2011;6;New York, NY, USA;;;Bharosa, Nitesh and van Wijk, Remco and Janssen, Marijn and de Winne, Niels and Hulstijn, Joris;Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times;;;;;;;;;;;;;;;;151--156;ACM;;;dg.o '11;Managing the Transformation to Standard Business Reporting: Principles and Lessons Learned from the Netherlands;;;2011;;http://doi.acm.org/10.1145/2037556.2037578;;;;;;978-1-4503-0762-8
BlakeHuang2008;7;;;;Blake, Robert W and Huang, Emily;;;;;;;;;;;;;;;;;;;;;;XBRL enabler for business documents;;;2008;;;;;;;;
Blankespoor;10;;;;Elizabeth Blankespoor;;;;;;;;;;;;;;;;;;;;;;The Impact of Investor Information Processing Costs on Firm Disclosure Choice: Evidence from the XBRL Mandate;;;;;;;;;;;
BoellaJanssenHulstijnEtAl2013;6;New York, NY, USA;;;Boella, Guido and Janssen, Marijn and Hulstijn, Joris and Humphreys, Llio and van der Torre, Leendert;Proceedings of the Fourteenth International Conference on Artificial Intelligence and Law;;;;;;;;;;;;;;;;23--32;ACM;;;ICAIL '13;Managing Legal Interpretation in Regulatory Compliance;;;2013;;http://doi.acm.org/10.1145/2514601.2514605;;;;;;978-1-4503-2080-1
Boeri2009a;7;88 Danbury Road, 1D, Wilton, CT 06897, United States;;;Boeri, Robert;;;;;;;;;EContent;English;;;;"Business Process;Financial information;";10;;46 - ;;;;;Word and 401(K)s;;32;2009;;;;;;;;
BonsonCortijoEscobar2008;7;;;;Bons{\'o}n, Enrique and Cortijo, Virginia and Escobar, Tomas;;;;;;;;;Journal of Emerging Technologies in Accounting;;;;;;1;;161--173;;;;;The role of XBRL in enhanced business reporting (EBR);;5;2008;;;;;;;;
BonsonBednarova2015;7;;;;Enrique Bonsón and Michaela Bednárová;;;;;;;;;Revista de Contabilidad ;;;;;;2;;182 - 193;;;;;\CSR\ reporting practices of Eurozone companies ;;18;2015;;http://www.sciencedirect.com/science/article/pii/S1138489114000284;;;;;;
